Full Name,Short Form
ALPHA WEALTH MANAGEMENT LIMITED,ALP
APOLLO CAPITAL MANAGEMENT LIMITED,APO
BELVEST INVESTMENT SERVICES LIMITED,FPL
CHINA SECURITIES (INTERNATIONAL) BROKERAGE COMPANY LIMITED,CSI
CIS SECURITIES ASSET MANAGEMENT LIMITED,CSA
DELTA ASIA SECURITIES LTD,DAS
IPP FINANCIAL ADVISERS LIMITED,IPP
KINGKEY SECURITIES GROUP LIMITED,GRC
OREANA FINANCIAL SERVICES  LIMITED,OFS
SHENWAN HONGYUAN SECURITIES (H.K.) LIMITED,SWS
THE PHILIPPA HUCKLE GROUP LIMITED,PHG
WEALTH MANAGEMENT CUBE LIMITED,WMC
WEALTH MANAGEMENT GROUP LIMITED,WMG
WRISE PRESTIGE SECURITIES LIMITED,WRS
ZIRCON SECURITIES (HK) LIMITED,ZIR
ACORN ASSET MANAGEMENT LTD,AAM
